System,space_group,space_group_index,magnetic,energy_P4mm,energy_cubic,d_E_cubic_p4mm,energy_fix_P4mmm,d_E_cubic_p4mmm,d_E_p4mm_P4mmm,gap,volume,density,a,b,c,polarization,d33,d31,d33_d31,c_a_ratio,amplitude,c33,c33_c11,eps11,eps33,P_A,P_B,P_O,BEC_1zz,BEC_2zz,BEC_3zz,BEC_4zz,BEC_5zz,c11,c44,c66,c12,c13,s11,s33,s33_s11_,s44,s66,s12,s13,d15,e33,e31,e15,e33_e31,ele_1,ele_2,ele_3,ele_1_Num,ele_1_Mas,ele_1_Rad,ele_1_Rion,ele_1_IE,ele_1_EA,ele_1_Vac,ele_1_NVE,ele_1_DP,ele_1_Rc,ele_1_BD,ele_1_XAR,ele_1_ENp,ele_1_ENg,ele_2_Num,ele_2_Mas,ele_2_Rad,ele_2_Rion,ele_2_IE,ele_2_EA,ele_2_Vac,ele_2_NVE,ele_2_DP,ele_2_Rc,ele_2_BD,ele_2_XAR,ele_2_ENp,ele_2_ENg,t,E_max,dir_E_max,E_min,dir_E_min,E_mae,d33_max,dir_d33_max,d33_min,dir_d33_min,d33_mae,,,,,,,,,,,,,,,,,,,,
PbSnO3,P 4 m m,99,no,-31.01786685,-30.90921514,-0.10865171,-30.89774673,0.01146841,0.12012012,1.206,68.71590792,5.441,4.077123773,4.077123773,4.133800346,46.60815466,12.09688232,-2.230373638,-5.42370216,1.013901117,0.824688858,213.7524,0.847293837,9.937893,21.32125,0.104844774,27.56160665,-74.27460608,2.91059,4.60459,2.16246,2.16246,3.19025,252.27659,70.13563,82.18033,78.06382,91.38326,4.85257411,6.127712389,1.262775642,14.25808822,12.16836194,-0.887533231,-1.695131197,-2.275163137,2.1781,0.36867,-0.15957,5.907993599,Pb,Sn,O,82,207.2,180,133,7.416,34,2,4,47,1.46,11.3,1.55,2.33,0.177911,50,118.71,145,83,7.344,107,4,4,53,1.39,7.287,1.72,1.96,0.178052,0.876271083,206.064,(1.00 0.00 0.02),163.193,(0.00 0.00 1.00),1.263,12.097,(0.00 0.00 1.00),0.058,(-0.01 -0.85 0.53),208.569,,,,,,,,,,,,,,,,,,,,
YAlO3,P 4 m m,99,no,-43.05642252,-43.04277717,-0.01364535,-43.03079992,0.01197725,0.0256226,3.343,50.37461679,3.253,3.673741669,3.673741669,3.732454542,39.47822052,42.9374203,-2.638107508,-16.27584174,1.015981764,0.682043419,173.38779,0.461752681,116.452867,33.862626,11.14735367,25.19511692,-75.82069112,3.9179,2.84209,2.18707,2.18707,2.38585,375.49926,57.37625,147.68567,102.08849,73.75636,3.034039318,6.639813777,2.188440254,17.42881419,6.771137647,-0.62346108,-1.025420973,157.6416342,7.05567,1.90698,9.0449,3.699918195,Y,Al,O,39,88.906,180,104,6.38,30,3,3,162,1.9,4.47,1.11,1.22,0.1216986,13,26.982,125,67.5,15.986,42,3,3,57.8,1.21,2.7,1.47,1.61,0.150078,0.84048868,344.769,(0.70 0.71 0.02),146.353,(-0.00 0.43 -0.90),2.356,-70.165,(-0.01 0.73 -0.68),2.459,(1.00 0.00 0.02),-28.534,,,,,,,,,,,,,,,,,,,,
SrZrO3,P 4 m m,99,no,-43.1667231,-43.14273313,-0.02398997,-43.13154337,0.01118976,0.03517973,3.328,70.98302117,3.196,4.117450095,4.117450095,4.186950165,34.72671011,31.30529971,-9.266525766,-3.37832112,1.016879396,0.791100318,211.71327,0.742210148,112.968204,31.950596,3.789981178,33.97662014,-72.49331142,2.4584,5.68867,1.76796,1.76796,4.61115,285.24707,44.18045,75.55515,85.72931,93.20793,4.236710647,6.06515575,1.431571862,22.63444578,13.23536516,-0.775374492,-1.523872255,115.5839553,4.90032,-0.51976,5.10655,-9.428043712,Sr,Zr,O,38,87.62,300,132,5.695,5,2,2,197.2,1.95,2.64,0.99,0.95,0.1185082,40,91.224,155,86,6.84,41,4,4,112,1.75,6.52,1.22,1.33,0.1248887,0.860535611,235.876,(1.00 0.00 0.02),129.809,(0.47 0.47 0.75),1.817,-48.706,(0.73 0.00 -0.68),1.687,(-0.01 1.00 0.02),-28.871,,,,,,,,,,,,,,,,,,,,
DyAlO3,P 4 m m,99,no,-41.27524094,-41.25762735,-0.01761359,-41.24321078,0.01441657,0.03203016,3.495,50.1718711,4.733,3.667331977,3.667331977,3.73043818,41.04038497,42.78709269,-2.409857912,-17.75502717,1.01720766,0.684213364,168.08314,0.439819926,113.358579,31.068977,10.53628152,25.19520728,-76.77187377,3.92419,2.84969,2.1993,2.1993,2.37529,382.16354,53.23371,152.38427,102.04388,71.78616,2.967293383,6.812089845,2.295725082,18.78508937,6.562357125,-0.602609564,-1.009926224,171.9371903,6.8458,1.90465,9.15287,3.594256163,Dy,Al,O,66,162.5,175,105.2,5.93,34,3,12,163,1.92,8.55,1.1,1.22,0.20333,13,26.982,125,67.5,15.986,42,3,3,57.8,1.21,2.7,1.47,1.61,0.150078,0.844873839,353.89,(0.70 0.71 0.02),139.582,(-0.00 0.49 0.87),2.535,75.436,(-0.01 0.73 0.68),2.689,(1.00 0.00 0.02),28.054,,,,,,,,,,,,,,,,,,,,
LiTaO3,P 4 m m,99,no,-43.47648828,-43.13298224,-0.34350604,-43.11717271,0.01580953,0.35931557,2.119,61.61555189,3.828,3.926209314,3.926209314,3.997085561,64.27164904,18.10226755,-4.523222611,-4.002073103,1.018052081,1.247368639,249.84213,0.695893295,38.672765,15.45239,-15.9971012,65.5010953,-113.7756431,1.01719,6.9257,1.29368,1.29368,5.35553,359.02362,45.99994,97.03986,47.02882,98.90173,3.128141143,4.958758828,1.585209427,21.73915879,10.30504372,-0.077040482,-1.207799236,28.4867639,3.628,-0.04632,1.31039,-78.32469775,Li,Ta,O,3,6.941,145,90,5.392,60,1,1,164.1125,1.28,0.534,0.97,0.98,0.105093,73,180.948,145,78,7.89,31,5,5,74,1.7,16.4,1.33,1.5,0.234581,0.748701298,319.343,(1.00 0.00 0.02),140.608,(0.47 0.47 0.75),2.271,18.102,(0.00 0.00 1.00),0.38,(1.00 0.00 0.02),47.637,,,,,,,,,,,,,,,,,,,,
PbHfO3,P 4 m m,99,no,-43.17174059,-43.05217496,-0.11956563,-43.03667656,0.0154984,0.13506403,2.19,70.04758866,6.191,4.097417718,4.097417718,4.172272903,52.06355791,16.9115158,-4.497446972,-3.760247959,1.018268868,0.839205554,240.75034,0.822064206,12.105121,25.346335,-1.474938495,33.60873991,-84.19735933,2.9397,5.70075,2.10193,2.10193,4.43658,292.86075,70.07454,76.94686,77.06383,100.97653,4.070022461,5.387229,1.323636184,14.27051822,12.9959819,-0.563963974,-1.47052594,-3.508550111,3.16318,0.04395,-0.24586,71.97224118,Pb,Hf,O,82,207.2,180,133,7.416,34,2,4,47,1.46,11.3,1.55,2.33,0.177911,72,178.49,155,85,7,2,4,4,103,1.75,13.3,1.23,1.3,0.229987,0.867965196,245.65,(1.00 0.00 0.02),182.845,(0.38 -0.38 -0.84),1.343,16.912,(0.00 0.00 1.00),-0.127,(-0.01 1.00 0.02),-133.165,,,,,,,,,,,,,,,,,,,,
NdGaO3,P 4 m m,99,no,-37.28220315,-37.26555571,-0.01664744,-37.24610774,0.01944797,0.03609541,3.348,57.26442435,4.575,3.826103624,3.826103624,3.911753172,41.30609009,71.55469133,-10.68139387,-6.699003167,1.02238558,0.720589025,120.71823,0.379226544,107.967235,33.034178,10.65062427,23.92919284,-75.88590719,3.98391,3.24513,2.23656,2.23656,2.75592,318.32748,52.74489,107.79048,112.86622,85.02475,4.039078224,11.46958796,2.839654823,18.95918259,9.277257138,-0.82801935,-2.26162592,121.5683003,6.82159,1.47817,6.41212,4.61488868,Nd,Ga,O,60,6144.24,185,112.3,5.49,185,3,6,208,2.01,7.01,1.07,1.14,0.176539,31,69.723,130,76,5.999,41,3,3,50,1.22,5.91,1.82,1.81,0.1723773,0.83417597,254.679,(0.70 0.71 0.02),87.187,(0.00 0.00 1.00),2.921,71.663,(-0.00 0.25 0.97),1.759,(1.00 0.00 0.02),40.741,,,,,,,,,,,,,,,,,,,,
KNbO3,P 4 m m,99,no,-40.72393558,-40.70230406,-0.02163152,-40.67822468,0.02407938,0.0457109,1.544,63.98967266,2.813,3.970278719,3.970278719,4.059456545,30.47204894,40.07367236,-7.689227103,-5.211664557,1.022461352,0.710428385,160.76092,0.423569746,11.137414,20.672312,7.928014451,37.08663491,-75.48669831,1.18416,7.15641,1.4288,1.4288,5.48297,379.53825,87.90775,94.01668,84.15491,81.13237,3.00229548,7.554612318,2.51627875,11.37556131,10.63641048,-0.383135804,-1.321830156,1.395667617,5.19459,-0.31417,0.12269,-16.53432855,K,Nb,O,19,39.098,220,152,4.341,48,1,1,289.7,2.03,0.89,0.91,0.82,0.0981896,41,92.906,145,78,6.88,89,5,5,98,1.64,8.57,1.23,1.6,0.1280782,0.9636063,333.002,(1.00 0.00 0.02),132.369,(0.00 0.00 1.00),2.516,40.074,(0.00 0.00 1.00),-0.1,(0.15 -0.99 0.02),-400.74,,,,,,,,,,,,,,,,,,,,
AgNbO3,P 4 m m,99,no,-39.1616198,-39.13753094,-0.02408886,-39.11454577,0.02298517,0.04707403,1.411,61.89206421,4.019,3.923816614,3.923816614,4.019921422,37.61991179,40.55209912,-10.64899042,-3.808069827,1.024492686,0.720198313,199.6779,0.591271214,34.151722,31.594294,7.563471391,38.76098242,-83.94436561,1.55052,7.30806,1.58559,1.58559,5.68741,337.70949,47.62754,52.7773,110.95097,113.88488,3.773598617,7.049084511,1.868000608,20.99625553,18.94753995,-0.63637901,-1.789291046,6.04587051,5.67184,-0.15951,0.28795,-35.55789606,Ag,Nb,O,47,107.868,160,108,7.576,126,1,11,55,1.45,10.5,1.42,1.93,0.1472165,41,92.906,145,78,6.88,89,5,5,98,1.64,8.57,1.23,1.6,0.1280782,0.811093073,264.825,(1.00 0.00 0.02),129.417,(0.45 0.46 -0.77),2.046,40.552,(0.00 0.00 1.00),-0.073,(-0.01 1.00 0.02),-555.507,,,,,,,,,,,,,,,,,,,,
CdHfO3,P 4 m m,99,no,-39.11165384,-38.697033,-0.41462084,-38.64436715,0.05266585,0.46728669,0.29,68.7698109,4.928,4.063226823,4.063226823,4.165390255,60.4675059,11.88039561,-2.244704326,-5.292632741,1.025143423,1.016557558,229.41176,0.91975652,20.615123,15.817234,-13.79935413,38.18146227,-84.84961404,2.06504,5.49822,1.57299,1.57299,4.41727,249.42662,36.05211,58.0327,32.45213,99.62837,4.863978994,6.289875898,1.293154412,27.73762756,17.23166422,0.255142259,-2.223119278,30.69385282,2.27823,0.55089,1.10658,4.135544301,Cd,Hf,O,48,112.411,155,109,8.993,-70,2,12,46,1.44,8.69,1.46,1.69,0.1504066,72,178.49,155,85,7,2,4,4,103,1.75,13.3,1.23,1.3,0.229987,0.787535989,205.449,(1.00 0.00 0.02),109.66,(0.52 0.52 0.68),1.874,14.345,(-0.01 0.64 0.77),0.451,(1.00 0.00 0.02),31.807,,,,,,,,,,,,,,,,,,,,
